127.0.0.1, 2022-07-01 19:21:56, GET, /, HTTP/1.1, 303, 0.835759
127.0.0.1, 2022-07-01 19:21:56, GET, /welcome/default/index, HTTP/1.1, 200, 0.209190
127.0.0.1, 2022-07-01 19:21:56, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:21:56, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002003
127.0.0.1, 2022-07-01 19:21:56, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:21:56, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:21:56, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:21:56, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:21:56, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:21:56, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-07-01 19:21:56, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2022-07-01 19:21:57, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2022-07-01 19:21:57, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001001
127.0.0.1, 2022-07-01 19:21:57, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001003
127.0.0.1, 2022-07-01 19:22:09, GET, /admin/default/site, HTTP/1.1, 303, 0.093084
127.0.0.1, 2022-07-01 19:22:09, GET, /admin/default/index, HTTP/1.1, 200, 0.023021
127.0.0.1, 2022-07-01 19:22:09, GET, /admin/static/_2.22.5/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-07-01 19:22:09, GET, /admin/static/_2.22.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2022-07-01 19:22:09, GET, /admin/static/_2.22.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.002002
127.0.0.1, 2022-07-01 19:22:09, GET, /admin/static/_2.22.5/css/calendar.css, HTTP/1.1, 200, 0.003003
127.0.0.1, 2022-07-01 19:22:09, GET, /admin/static/_2.22.5/js/calendar.js, HTTP/1.1, 200, 0.002002
127.0.0.1, 2022-07-01 19:22:09, GET, /admin/static/_2.22.5/js/web2py.js, HTTP/1.1, 200, 0.002002
127.0.0.1, 2022-07-01 19:22:09, GET, /admin/static/_2.22.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:22:09, GET, /admin/static/_2.22.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:22:09, GET, /admin/static/_2.22.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:22:09, GET, /admin/static/_2.22.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:22:09, GET, /admin/static/_2.22.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:22:09, GET, /admin/static/_2.22.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:22:09, GET, /admin/static/_2.22.5/js/bootstrap.min.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:22:10, GET, /admin/static/_2.22.5/images/questions.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-07-01 19:22:10, GET, /admin/static/_2.22.5/plugin_multiselect/switch.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-07-01 19:22:10, GET, /admin/static/_2.22.5/img/glyphicons-halflings.png, HTTP/1.1, 404, 0.001001
127.0.0.1, 2022-07-01 19:22:10, GET, /admin/static/_2.22.5/img/glyphicons-halflings-white.png, HTTP/1.1, 404, 0.000000
127.0.0.1, 2022-07-01 19:22:10, GET, /admin/static/_2.22.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-07-01 19:22:10, GET, /admin/static/_2.22.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:22:10, GET, /admin/static/_2.22.5/images/files_toggle.png, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:22:10, GET, /admin/static/_2.22.5/images/folder.png, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:22:10, GET, /favicon.ico, HTTP/1.1, 400, 0.001001
127.0.0.1, 2022-07-01 19:22:10, GET, /admin/static/_2.22.5/images/folder_locked.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-07-01 19:22:11, GET, /welcome/default/index, HTTP/1.1, 200, 0.010010
127.0.0.1, 2022-07-01 19:22:13, GET, /admin/default/site, HTTP/1.1, 303, 0.002001
127.0.0.1, 2022-07-01 19:22:13, GET, /admin/default/index, HTTP/1.1, 200, 0.007006
127.0.0.1, 2022-07-01 19:22:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-07-01 19:22:17, POST, /admin/default/index, HTTP/1.1, 200, 1.013425
127.0.0.1, 2022-07-01 19:22:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-07-01 19:22:22, GET, /admin/default/index, HTTP/1.1, 200, 0.008007
127.0.0.1, 2022-07-01 19:22:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-07-01 19:22:35, GET, /welcome/default/index, HTTP/1.1, 200, 0.011010
127.0.0.1, 2022-07-01 19:23:39, GET, /examples/default/index, HTTP/1.1, 200, 0.007006
127.0.0.1, 2022-07-01 19:23:39, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:23:39, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.002001
127.0.0.1, 2022-07-01 19:23:39, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2022-07-01 19:23:39, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.002001
127.0.0.1, 2022-07-01 19:23:39, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.002001
127.0.0.1, 2022-07-01 19:23:39, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2022-07-01 19:23:39, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:23:39, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-07-01 19:23:39, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-07-01 19:23:39, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:23:39, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-07-01 19:23:40, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:23:41, GET, /welcome/default/index, HTTP/1.1, 200, 0.010009
127.0.0.1, 2022-07-01 19:23:59, GET, /welcome/default/index, HTTP/1.1, 200, 0.009008
127.0.0.1, 2022-07-01 19:24:03, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 303, 0.003003
127.0.0.1, 2022-07-01 19:24:03, GET, /admin/default/index, HTTP/1.1, 200, 0.008008
127.0.0.1, 2022-07-01 19:24:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-07-01 19:24:05, GET, /welcome/default/index, HTTP/1.1, 200, 0.011010
127.0.0.1, 2022-07-01 19:24:07, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 303, 0.002002
127.0.0.1, 2022-07-01 19:24:07, GET, /admin/default/index, HTTP/1.1, 200, 0.008007
127.0.0.1, 2022-07-01 19:24:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-07-01 19:24:11, POST, /admin/default/index, HTTP/1.1, 303, 0.007006
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.026023
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.002002
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/codemirror/theme/twilight.css, HTTP/1.1, 200, 0.003003
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.002002
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/css/web2py-codemirror.css, HTTP/1.1, 200, 0.001001
000
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/codemirror/keymap/sublime.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.002003
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.002003
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.001001

127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.002001
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/codemirror/emmet.min.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/js/ajax_editor.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/codemirror/addon/comment/comment.js, HTTP/1.1,127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/default/edit/welcome/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.012011
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/default/edit/welcome/images/files_toggle.png, HTTP/1.1, 200, 0.025023
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.010009
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.043039
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.064058
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/static/_2.22.5/images/save_icon.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-07-01 19:24:11, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.085077
127.0.0.1, 2022-07-01 19:24:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-07-01 19:24:11, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.122111
127.0.0.1, 2022-07-01 19:24:11, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.173158
127.0.0.1, 2022-07-01 19:24:19, GET, /admin/default/index, HTTP/1.1, 303, 0.003003
127.0.0.1, 2022-07-01 19:24:19, GET, /admin/default/index, HTTP/1.1, 303, 0.004004
127.0.0.1, 2022-07-01 19:24:20, GET, /admin/default/site, HTTP/1.1, 200, 0.028026
127.0.0.1, 2022-07-01 19:24:20, GET, /admin/default/site, HTTP/1.1, 200, 0.043039
127.0.0.1, 2022-07-01 19:24:21, GET, /admin/images/folder_locked.png, HTTP/1.1, 404, 0.003002
127.0.0.1, 2022-07-01 19:24:21, GET, /admin/images/folder.png, HTTP/1.1, 404, 0.005005
127.0.0.1, 2022-07-01 19:24:21, GET, /admin/images/glyphicons-halflings-white.png, HTTP/1.1, 404, 0.003003
127.0.0.1, 2022-07-01 19:24:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-07-01 19:24:21, POST, /admin/default/check_version, HTTP/1.1, 200, 0.816742
127.0.0.1, 2022-07-01 19:24:22, GET, /admin/default/index, HTTP/1.1, 303, 0.002002
127.0.0.1, 2022-07-01 19:24:22, GET, /admin/default/site, HTTP/1.1, 200, 0.013012
127.0.0.1, 2022-07-01 19:24:23, GET, /admin/images/folder_locked.png, HTTP/1.1, 404, 0.003003
127.0.0.1, 2022-07-01 19:24:23, GET, /admin/images/glyphicons-halflings-white.png, HTTP/1.1, 404, 0.003003
